endpoint,featureset,model,fraction,n_train,seed,noise_type,noise_level,arm,R2,RMSE,MSE,MAE,Pearson,Spearman,CCC
HLM,fcfp4,RF,0.4,987,16,none,0.0,base,0.1771483976904927,0.5548595989797462,0.3078691745799647,0.4536558391182304,0.4277617042896381,0.4341323714792165,0.3179343749747145
HLM,fcfp4,RF,0.4,987,17,none,0.0,base,0.2321117996666013,0.5360080857503132,0.2873046679897151,0.4405654581584137,0.4913884040905755,0.5112584405433632,0.3425781405182829
HLM,fcfp4,RF,0.4,987,18,none,0.0,base,0.1788216687133538,0.5542951576162449,0.3072431217568178,0.4537770192089381,0.4247313669872963,0.4299542429974126,0.3089621313426418
HLM,fcfp4,RF,0.4,987,19,none,0.0,base,0.2103945403870987,0.5435348753214013,0.2954301606906513,0.4462267065935272,0.475621590718641,0.4725030241669718,0.3121807408853498
HLM,fcfp4,RF,0.5,1234,5,none,0.0,base,0.2054868250797129,0.545221402629467,0.2972663778852433,0.4439564402438353,0.4595106598540244,0.478580830165614,0.3220596825361944
HLM,fcfp4,RF,0.5,1234,6,none,0.0,base,0.1679023085693373,0.5579682700386502,0.3113285903699241,0.4569832982308516,0.4194838266130655,0.4605830111569025,0.2867017967838793
HLM,fcfp4,RF,0.5,1234,7,none,0.0,base,0.2162906494769987,0.5415017422558576,0.2932241368661292,0.4421743948511324,0.4747403419219484,0.4978306351498163,0.3291541394489058
HLM,fcfp4,RF,0.5,1234,8,none,0.0,base,0.2142647492443338,0.542201185525886,0.2939821255856763,0.4477117492051777,0.4665032056120665,0.4644876196010611,0.3321315250803611
HLM,fcfp4,RF,0.5,1234,9,none,0.0,base,0.176935997216647,0.554931206568015,0.3079486440230329,0.4559539411187698,0.4232663122547502,0.4412191859295423,0.3144300187753766
HLM,fcfp4,RF,0.5,1234,10,none,0.0,base,0.2282179514745292,0.5373653763783104,0.2887615477302032,0.4393172799472873,0.4945666235306776,0.4964178896296883,0.3345056906061247
HLM,fcfp4,RF,0.5,1234,11,none,0.0,base,0.1940113545061957,0.5491447119904134,0.3015599147070341,0.4481533035451569,0.4423105795744779,0.4523626015359883,0.3348891002529741
HLM,fcfp4,RF,0.5,1234,12,none,0.0,base,0.1713306301266131,0.5568176424954248,0.3100458869941626,0.4474889593258896,0.4219874154706554,0.4390604883563758,0.31252142345034
HLM,fcfp4,RF,0.5,1234,13,none,0.0,base,0.2258018449560418,0.5382058451696545,0.2896655317747821,0.4440803197424214,0.4822586554239502,0.4871962357314837,0.346432129500161
HLM,fcfp4,RF,0.5,1234,14,none,0.0,base,0.2335005817118857,0.5355231614574564,0.2867850564573888,0.4387151802524267,0.4869296235502947,0.4885920903159286,0.3552758404372288
HLM,fcfp4,RF,0.5,1234,15,none,0.0,base,0.1373860163399869,0.5681075894609382,0.3227462332031178,0.4632920220226534,0.3786225579789306,0.381365319787774,0.2832151470340573
HLM,fcfp4,RF,0.5,1234,16,none,0.0,base,0.2030692968673579,0.5460502667843711,0.2981708938552828,0.448170090548759,0.4567366848473426,0.4679705202552495,0.3313143884431501
HLM,fcfp4,RF,0.5,1234,17,none,0.0,base,0.2456192931435358,0.5312728598909545,0.2822508516567138,0.4362840075887806,0.5045952914082962,0.5164173744990053,0.3565025208268904
